PP,Blok,Condition,timestamp,HR,RMSSD
PP16,1,R,2012-10-15 13:27:00,90.0,0.037328
PP16,1,R,2012-10-15 13:28:00,88.0,0.03517
PP16,1,R,2012-10-15 13:29:00,87.0,0.035659
PP16,1,R,2012-10-15 13:30:00,86.0,0.04295
PP16,1,R,2012-10-15 13:31:00,87.0,0.035976
PP16,1,R,2012-10-15 13:32:00,88.0,0.039346
PP16,1,N,2012-10-15 13:41:00,82.10833333333333,0.067844975
PP16,1,N,2012-10-15 13:42:00,90.0,0.046238
PP16,1,N,2012-10-15 13:43:00,91.0,0.047619
PP16,1,N,2012-10-15 13:44:00,90.0,0.046004
PP16,1,N,2012-10-15 13:45:00,86.0,0.063885
PP16,1,N,2012-10-15 13:46:00,89.0,0.045161
PP16,1,N,2012-10-15 13:47:00,82.10833333333333,0.067844975
PP16,1,N,2012-10-15 13:48:00,82.0,0.059212
PP16,1,N,2012-10-15 13:49:00,82.10833333333333,0.067844975
PP16,1,N,2012-10-15 13:50:00,90.0,0.05855
PP16,1,N,2012-10-15 13:51:00,86.0,0.058466
PP16,1,N,2012-10-15 13:52:00,87.0,0.048699
PP16,1,N,2012-10-15 13:53:00,85.0,0.055768
PP16,1,N,2012-10-15 13:54:00,81.0,0.065562
PP16,1,N,2012-10-15 13:55:00,87.0,0.055882
PP16,1,N,2012-10-15 13:56:00,89.0,0.041713
PP16,1,N,2012-10-15 13:57:00,84.0,0.060493
PP16,1,N,2012-10-15 13:58:00,85.0,0.064327
PP16,1,N,2012-10-15 13:59:00,85.0,0.060579
PP16,1,N,2012-10-15 14:00:00,89.0,0.055119
PP16,1,N,2012-10-15 14:01:00,82.0,0.059623
PP16,1,N,2012-10-15 14:02:00,84.0,0.071016
PP16,1,N,2012-10-15 14:03:00,82.10833333333333,0.067844975
PP16,1,N,2012-10-15 14:04:00,82.10833333333333,0.067844975
PP16,1,N,2012-10-15 14:05:00,85.0,0.062355
PP16,1,N,2012-10-15 14:06:00,82.0,0.068241
PP16,1,N,2012-10-15 14:07:00,84.0,0.058628
